Цитата;Автор;Контекст (До);Контекст (После)
всякого брашна возгнушася душа их, и приближишася до врат смертных;Авва Дорофей;И Иеремия также говорит: врачевахом Вавилона и не исцеле (Иер. 51, 9), то есть мы явили имя Твое, возвестили заповеди Твои, благодеяния и обетования, предсказали Вавилону нашествие врагов, но он не исцелел, то есть не покаялся, не убоялся, не обратился от злых дел своих. Так в другом месте говорит: не приясте наказания (Иерем. 2, 30), то есть вразумления или наставления.;Посему и пророк Давид ясно говорит: седяй на херувимех явися, воздвигни силу Твою, и прииди во еже спасти нас (Псал. 79, 2–3), и: Господи, приклони небеса, и сниди (Псал. 143, 5) и тому подобное. И другие пророки различным образом изрекли многое: одни, моля, чтобы Он снисшел, другие, извещая, что Он непременно снидет.
один только Бог, мог исцелить такую болезнь;Авва Дорофей;И Иеремия также говорит: врачевахом Вавилона и не исцеле (Иер. 51, 9), то есть мы явили имя Твое, возвестили заповеди Твои, благодеяния и обетования, предсказали Вавилону нашествие врагов, но он не исцелел, то есть не покаялся, не убоялся, не обратился от злых дел своих. Так в другом месте говорит: не приясте наказания (Иерем. 2, 30), то есть вразумления или наставления.;Посему и пророк Давид ясно говорит: седяй на херувимех явися, воздвигни силу Твою, и прииди во еже спасти нас (Псал. 79, 2–3), и: Господи, приклони небеса, и сниди (Псал. 143, 5) и тому подобное. И другие пророки различным образом изрекли многое: одни, моля, чтобы Он снисшел, другие, извещая, что Он непременно снидет.
приклони небеса, и сниди;Авва Дорофей;Так в другом месте говорит: не приясте наказания (Иерем. 2, 30), то есть вразумления или наставления. И в Псалме сказано: всякого брашна возгнушася душа их, и приближишася до врат смертных (Псал. 106, 18). — Тогда наконец преблагий и человеколюбивый Бог послал единородного Сына Своего, ибо один только Бог, мог исцелить такую болезнь, и это было не безызвестно пророкам.;И другие пророки различным образом изрекли многое: одни, моля, чтобы Он снисшел, другие, извещая, что Он непременно снидет. Итак, пришел Господь наш, сделавшись нас ради человеком, чтобы, как говорит св.
подобным исцелить подобное, душею душу, плотию плоть;Авва Дорофей;И другие пророки различным образом изрекли многое: одни, моля, чтобы Он снисшел, другие, извещая, что Он непременно снидет. Итак, пришел Господь наш, сделавшись нас ради человеком, чтобы, как говорит св.;Он принял самое естество наше, начаток нашего состава, и сделался новым Адамом, по образу Бога, создавшего первого Адама, обновил естественное состояние, и чувства опять сделал здравыми, какими они были вначале. Сделавшись человеком, восставил падшего человека, освободил его, порабощенного грехом и насильственно им обладаемого.
восставил падшего человека, освободил его, порабощенного грехом и насильственно им обладаемого;Авва Дорофей;Григорий, подобным исцелить подобное, душею душу, плотию плоть, ибо Он по всему, кроме греха, стал человеком. Он принял самое естество наше, начаток нашего состава, и сделался новым Адамом, по образу Бога, создавшего первого Адама, обновил естественное состояние, и чувства опять сделал здравыми, какими они были вначале.;Ибо с насилием и мучительски владел враг человеком, так что и не хотевшие грешить невольно согрешали, как говорит Апостол, от лица нашего: Не еже хощу доброе, творю: но еже не хощу злое, се содеваю (Рим. 7, 19).
Бог, сделавшись ради нас человеком, освободил человека от мучительства вражья.;Авва Дорофей;Сделавшись человеком, восставил падшего человека, освободил его, порабощенного грехом и насильственно им обладаемого. Ибо с насилием и мучительски владел враг человеком, так что и не хотевшие грешить невольно согрешали, как говорит Апостол, от лица нашего: Не еже хощу доброе, творю: но еже не хощу злое, се содеваю (Рим. 7, 19).;Ибо Бог низложил всю силу врага, сокрушил самую крепость его и избавил нас от владычества его, и освободил нас от повиновения и рабства ему, если только мы сами не захотим согрешать произвольно. Потому что Он дал нам власть, как Он сказал: наступать на змию и скорпию, и на всю силу вражию (Лук. 10, 19), очистив нас святым крещением от всякого греха, ибо святое крещение отъемлет и истребляет всякий грех.
святое крещение отъемлет и истребляет всякий грех.;Авва Дорофей;Итак, Бог, сделавшись ради нас человеком, освободил человека от мучительства вражья. Ибо Бог низложил всю силу врага, сокрушил самую крепость его и избавил нас от владычества его, и освободил нас от повиновения и рабства ему, если только мы сами не захотим согрешать произвольно.;Притом преблагий Бог, зная немощь нашу и предвидя, что мы, и по святом крещении, будем согрешать, как сказано в Писании, что прилежит помышление человеку прилежно на злая от юности его (Быт. 8, 21), дал нам, по благости своей, святые заповеди, очищающие нас, дабы мы, если пожелаем, могли опять соблюдением заповедей очиститься, не только от грехов наших, но и от самих страстей. Ибо иное суть страсти, и иное грехи.
Ибо иное суть страсти, и иное грехи.;Авва Дорофей;Потому что Он дал нам власть, как Он сказал: наступать на змию и скорпию, и на всю силу вражию (Лук. 10, 19), очистив нас святым крещением от всякого греха, ибо святое крещение отъемлет и истребляет всякий грех. Притом преблагий Бог, зная немощь нашу и предвидя, что мы, и по святом крещении, будем согрешать, как сказано в Писании, что прилежит помышление человеку прилежно на злая от юности его (Быт. 8, 21), дал нам, по благости своей, святые заповеди, очищающие нас, дабы мы, если пожелаем, могли опять соблюдением заповедей очиститься, не только от грехов наших, но и от самих страстей.;Страсти суть: гнев, тщеславие, сластолюбие, ненависть, злая похоть и тому подобное. Грехи же суть самые действия страстей, когда кто приводит их в исполнение на деле, то есть совершает телом те дела, к которым побуждают его страсти, ибо можно иметь страсти, но не действовать по ним.
можно иметь страсти, но не действовать по ним.;Авва Дорофей;Ибо иное суть страсти, и иное грехи. Страсти суть: гнев, тщеславие, сластолюбие, ненависть, злая похоть и тому подобное.;Итак, Он дал нам, как я сказал, заповеди, очищающие (нас) и от самых страстей наших, и от самых худых залогов, (находящихся) во внутреннем человеке нашем: ибо дает ему силу различить добро и зло, возбуждает его, показывает ему причины, по которым он впадает в согрешения, и говорит: «Закон сказал: не прелюбодействуй, а я говорю: даже не похотствуй. Закон сказал: не убивай, а я говорю: даже не гневайся» (Матф. 5, 27–28).
теперь цель владыки нашего Христа есть научить нас, от чего мы впали во все грехи сии, от чего постигли нас такие злые дни.;Авва Дорофей;Ибо тогда цель закона была научить нас не делать того, чего сами не хотим пострадать, потому он и останавливал нас от делания зла страхом, чтобы самим не пострадать (того же). Ныне же требуется, как я сказал, изгнать самую ненависть, самое сластолюбие, самое славолюбие и прочие страсти.;Итак, сперва, как я уже сказал, Он освободил нас святым крещением, подав нам свободу делать добро, если пожелаем, и не увлекаться уже, так сказать, насильственно ко злу, ибо того, кто порабощен грехами, они отягощают и увлекают, как и сказано, что каждый связывается узами своих грехов (Притч. 5, 22).
каждый связывается узами своих грехов;Авва Дорофей;Ныне же требуется, как я сказал, изгнать самую ненависть, самое сластолюбие, самое славолюбие и прочие страсти. Словом, теперь цель владыки нашего Христа есть научить нас, от чего мы впали во все грехи сии, от чего постигли нас такие злые дни.;
возношение низложило нас, что невозможно иначе получить помилование, как чрез противоположное ему, то есть смиренномудрие.;Авва Дорофей;Какое же это врачевство, и какая причина небрежения? Послушайте, что говорит сам Господь наш: научитеся от Мене, яко кроток есмь и смирен сердцем, и обрящете покой душам вашим (Матф. 11, 29).;Ибо возношение рождает пренебрежение, преслушание и погибель, как и смиренномудрие рождает послушание и спасение души. Разумею же истинное смиренномудрие, не в словах только или, во внешнем образе смирение, но собственно смиренный залог [Смиренное чувство], утвердившийся в самом сердце.
Ибо возношение рождает пренебрежение, преслушание и погибель, как и смиренномудрие рождает послушание и спасение души.;Авва Дорофей;Послушайте, что говорит сам Господь наш: научитеся от Мене, яко кроток есмь и смирен сердцем, и обрящете покой душам вашим (Матф. 11, 29). Вот здесь Он показал нам вкратце, одним словом, корень и причину всех зол и врачество от оных, — причину всего благого: показал, что возношение низложило нас, что невозможно иначе получить помилование, как чрез противоположное ему, то есть смиренномудрие.;Разумею же истинное смиренномудрие, не в словах только или, во внешнем образе смирение, но собственно смиренный залог [Смиренное чувство], утвердившийся в самом сердце. Итак, желающий найти истинное смирение и покой душе своей, да научится смиренномудрию, и увидит, что в нем всякая радость и всякая слава и весь покой, как и в гордости все противное.
желающий найти истинное смирение и покой душе своей, да научится смиренномудрию, и увидит, что в нем всякая радость и всякая слава и весь покой, как и в гордости все противное.;Авва Дорофей;Ибо возношение рождает пренебрежение, преслушание и погибель, как и смиренномудрие рождает послушание и спасение души. Разумею же истинное смиренномудрие, не в словах только или, во внешнем образе смирение, но собственно смиренный залог [Смиренное чувство], утвердившийся в самом сердце.;Ибо от чего подверглись мы всем скорбям сим? Не от гордости ли нашей?
выя его осталась непреклонною.;Авва Дорофей;Ибо какая была нужда во всех сих превратностях? Если бы (человек) сначала смирился, послушал Бога и сохранил заповедь, то не пал бы.;Ибо (Бог) пришел, говоря ему: Адаме, где еси? (Быт. 3, 9), то есть из какой славы в какой стыд перешел ты?
когда человек не хочет порицать себя, то он не усумнится обвинять и самого Бога.;Авва Дорофей;Нет покаяния, но совсем противное. Ибо он прекословит и возражает: Жена, юже ми еси дал (прельсти мя) (Быт. 3, 10), и не сказал: «Жена моя прельсти мя», но «жена, юже ми еси дал», как бы говоря: «Эта беда, которую Ты навел на главу мою».;"Потом (Бог) приходит к жене, и говорит ей: «Почему и ты не сохранила заповеди? » Как бы собственно внушал ей: «Скажи по крайней мере ты: ""Прости"", чтобы смирилась душа твоя, и ты была помилована»."
Но никто из них не захотел обвинить себя, ни в одном не нашлось и малого смирения.;Авва Дорофей;» Что вы делаете, окаянные? Покайтесь, познайте согрешение ваше, пожалейте о наготе своей.;Итак, вы видите теперь ясно, до чего дошло устроение наше, вот в какие и коликия бедствия ввело нас то, что мы оправдываем самих себя, что держимся своей воли и следуем самим себе. Все это исчадия гордости, враждебной Богу.
Все это исчадия гордости, враждебной Богу.;Авва Дорофей;Но никто из них не захотел обвинить себя, ни в одном не нашлось и малого смирения. Итак, вы видите теперь ясно, до чего дошло устроение наше, вот в какие и коликия бедствия ввело нас то, что мы оправдываем самих себя, что держимся своей воли и следуем самим себе.;А чада смиренномудрия суть: самоукорение, недоверие своему разуму, ненавидение своей воли, ибо чрез них человек сподобляется придти в себя и возвратиться в естественное состояние, чрез очищение себя святыми заповедями Христовыми. Без смирения нельзя повиноваться заповедям и достигнуть чего-либо благого, как сказал и Авва Марк: «Без сокрушения сердечного невозможно освободиться от зла и приобрести добродетель».
А чада смиренномудрия суть: самоукорение, недоверие своему разуму, ненавидение своей воли;Авва Дорофей;Итак, вы видите теперь ясно, до чего дошло устроение наше, вот в какие и коликия бедствия ввело нас то, что мы оправдываем самих себя, что держимся своей воли и следуем самим себе. Все это исчадия гордости, враждебной Богу.;Без смирения нельзя повиноваться заповедям и достигнуть чего-либо благого, как сказал и Авва Марк: «Без сокрушения сердечного невозможно освободиться от зла и приобрести добродетель».
Без смирения нельзя повиноваться заповедям и достигнуть чего-либо благого;Авва Дорофей;Все это исчадия гордости, враждебной Богу. А чада смиренномудрия суть: самоукорение, недоверие своему разуму, ненавидение своей воли, ибо чрез них человек сподобляется придти в себя и возвратиться в естественное состояние, чрез очищение себя святыми заповедями Христовыми.;
чрез сокрушение сердечное человек делается послушным заповедям, освобождается от зла, приобретает добродетели и потом восходит в покой свой;Авва Дорофей;А чада смиренномудрия суть: самоукорение, недоверие своему разуму, ненавидение своей воли, ибо чрез них человек сподобляется придти в себя и возвратиться в естественное состояние, чрез очищение себя святыми заповедями Христовыми. Без смирения нельзя повиноваться заповедям и достигнуть чего-либо благого, как сказал и Авва Марк: «Без сокрушения сердечного невозможно освободиться от зла и приобрести добродетель».;Зная сие, и святые всячески старались смиренною жизнью соединить себя с Богом. Ибо были некоторые боголюбивые люди, которые по святом крещении не только пресекли действия страстей, но восхотели победить и самые страсти и быть бесстрастными, каковы были святый Антоний и Пахомий и прочие богоносные отцы.
заповедь Господня светла, просвещающая очи;Авва Дорофей;Зная сие, и святые всячески старались смиренною жизнью соединить себя с Богом. Ибо были некоторые боголюбивые люди, которые по святом крещении не только пресекли действия страстей, но восхотели победить и самые страсти и быть бесстрастными, каковы были святый Антоний и Пахомий и прочие богоносные отцы.;Они поняли, что находясь в мире, не могут удобно совершать добродетели, и измыслили себе особенный образ жизни, особенный порядок провождения времени, особенный образ действования, — словом, монашеское житие, и начали убегать от мира и жить в пустынях, (подвизаясь) в постах, в бдениях, спали на голой земле и (терпели) другое злострадание, совершенно отрекались от отечества и сродников, имений и приобретений: одним словом, распяли себя миру. И не только сохранили заповеди, но и принесли Богу дары, и объясню вам, как они это сделали.
распяли себя миру;Авва Дорофей;Ибо были некоторые боголюбивые люди, которые по святом крещении не только пресекли действия страстей, но восхотели победить и самые страсти и быть бесстрастными, каковы были святый Антоний и Пахомий и прочие богоносные отцы. Они имели благое намерение очистить самих себя, как говорит Апостол, от всякия скверны плоти и духа (2 Кор. 7, 1), ибо знали, что сохранением заповедей, как мы уже сказали, очищается душа, и, так сказать, очищается и ум, и прозревает и приходит в естественное (состояние), ибо заповедь Господня светла, просвещающая очи (Псал. 18, 9).;И не только сохранили заповеди, но и принесли Богу дары, и объясню вам, как они это сделали. Заповеди (Христовы) даны всем христианам, и всякий христианин обязан исполнять их, они, так сказать, дань, должная царю.
Заповеди (Христовы) даны всем христианам, и всякий христианин обязан исполнять их, они, так сказать, дань, должная царю;Авва Дорофей;Они поняли, что находясь в мире, не могут удобно совершать добродетели, и измыслили себе особенный образ жизни, особенный порядок провождения времени, особенный образ действования, — словом, монашеское житие, и начали убегать от мира и жить в пустынях, (подвизаясь) в постах, в бдениях, спали на голой земле и (терпели) другое злострадание, совершенно отрекались от отечества и сродников, имений и приобретений: одним словом, распяли себя миру. И не только сохранили заповеди, но и принесли Богу дары, и объясню вам, как они это сделали.;И кто, отрекающийся давать дани царю, избег бы наказания? Но есть в мире великие и знатные люди, которые не только дают дани царю, но приносят ему и дары, таковые сподобляются великой чести, великих наград и достоинств.
Но есть в мире великие и знатные люди, которые не только дают дани царю, но приносят ему и дары, таковые сподобляются великой чести, великих наград и достоинств;Авва Дорофей;Заповеди (Христовы) даны всем христианам, и всякий христианин обязан исполнять их, они, так сказать, дань, должная царю. И кто, отрекающийся давать дани царю, избег бы наказания?;Так и Отцы, они не только сохранили заповеди, но и принесли Богу дары. Дары же сии суть: девство и нестяжание.
Дары же сии суть: девство и нестяжание;Авва Дорофей;Но есть в мире великие и знатные люди, которые не только дают дани царю, но приносят ему и дары, таковые сподобляются великой чести, великих наград и достоинств. Так и Отцы, они не только сохранили заповеди, но и принесли Богу дары.;Это не заповеди, но дары, ибо нигде не сказано в Писании: не бери жены, не имей детей. Так же и Христос говоря: продаждь имения твоя (Матф. 19, 21), не дал этим заповеди, но когда приступил к нему законник и сказал: Учителю благий, что благо сотворю, да имам живот вечный, (Христос) отвечал: Ты знаешь заповеди, не убий, не прелюбодействуй, не укради, не лжесвидетельствуй на ближнего своего и проч.
Он не сказал: «Продай имение твое», как бы повелевая, но советуя, ибо слова: аще хощеши — не суть слова повелевающего, но советующего;Авва Дорофей;Когда же тот сказал: вся сия сохраних от юности моея, (Господь) присовокупил: аще хощеши совершен быти, иди, продаждь имение твое, и даждь нищим и проч. (Матф. 19, 21).;
Отцы принесли Богу, вместе с иными добродетелями, и дары: девство и нестяжание, и, как мы упомянули прежде, распяли себе мир.;Авва Дорофей;(Матф. 19, 21). Он не сказал: «Продай имение твое», как бы повелевая, но советуя, ибо слова: аще хощеши — не суть слова повелевающего, но советующего.;Но потом подвизались распять и себя миру, как говорит Апостол: мне мир распяся, и аз миру (Гал. 6, 14). Какое же между этим различие?
Но потом подвизались распять и себя миру, как говорит Апостол: мне мир распяся, и аз миру (Гал. 6, 14).;Авва Дорофей;Он не сказал: «Продай имение твое», как бы повелевая, но советуя, ибо слова: аще хощеши — не суть слова повелевающего, но советующего. Итак, как мы сказали, Отцы принесли Богу, вместе с иными добродетелями, и дары: девство и нестяжание, и, как мы упомянули прежде, распяли себе мир.;Какое же между этим различие? Как мир распинается человеку, и человек миру?
Когда человек отрекается от мира и делается иноком, оставляет родителей, имения, приобретения, торговлю, даяние (другим) и приятие (от них), тогда распинается ему мир, ибо он отверг его.;Авва Дорофей;Какое же между этим различие? Как мир распинается человеку, и человек миру?;Это и значат слова Апостола: мне мир распяся, потом он прибавляет: и аз миру. Как же человек распинается миру?
